MSA,Lebanese,lang
 في يومٍ مشمسٍ، قرر محمد أن يعتني بالكلب الضائع الذي وجده في الحديقة. بدأ بإطعامه وتقديم الماء له بكل حنان. كل يوم، كان يأخذ الكلب في نزهةٍ طويلة ويلعب معه. شيئًا فشيئًا، نشأت بينهما صداقة قوية لا تُنسى. , بيوم مشمس، محمد قرر ياخد بالو من الكلب يللي لقاه ضايع بالحديقة. بلش يأكلو ويسقيو بكل حنية. كل يوم، كان ياخد الكلب بنزهة طويلة ويلعب معو. شوي شوي، عم بينهن صداقة قوية ما بتنتسى. ,Lebanese
 أريد تذكرتين للقطار ليوم الخميس. فتحت ليلى حقيبتها لتتأكد من وجود المحفظة بها قبل الذهاب لشراء التذاكر. وجدت بين أغراضها صورة قديمة لها وهي طفلة تلعب على الشاطئ. تبسمت للذكريات الجميلة ثم واصلت طريقها إلى المحطة. , بدي تذكرتين للقطار لنهار الخميس. ليلى فتحت شنطتها لتتأكد إذا المحفظة موجودة قبل ما تروح تشتري التذاكر. لقيت صورة قديمة كانت صغيرة وعم تلعب عالشاطئ بين أغراضها. ابتسمت للذكريات الحلوة وكملت طريقها عالمحطة. ,Lebanese
" كان أحمد يبحث عن مقهى لقضاء وقت فراغه. سأل المارة: ""أين المقهى؟"" لكن لم يجبه أحد. وأخيرًا وجد مقهى صغيرًا في زاوية هادئة من الشارع. جلس وطلب كوبا من القهوة واستمتع بالهدوء. "," أحمد كان عم يدور على مقهى ليقضي وقت فراغه. سأل الناس يللي عم تمشي: ""وين المقهى؟"" بس ما حدا رد عليه. آخر شي، لقى مقهى صغيرة بزاوية هادية من الشارع. قعد وطلب فنجان قهوة واستمتع بالهدوء. ",Lebanese
 ذهب محمد إلى السوق ليشتري جاكيت لابنه. وجد واحدًا مناسبًا ولكن كان سعره مرتفعًا. قرر أن يتفاوض مع البائع. وأخيرًا، تمكن من الحصول عليه بسعر معقول. , محمد راح عالسوق يشتري جاكيت لابنو. لقى واحد منيح بس كان غالي. فاوض البياع عالسعر. وبالآخر، أخدو بسعر مناسب. ,Lebanese
" في يومٍ مشمس، سأل الطفل العجوز جالساً على مقعد الحديقة: ""اسمك مرة ثانية؟"" فابتسم العجوز وأجاب بحنان: ""اسمي حسن، وأنت؟"" رد الطفل ببراءة: ""أنا يوسف، وأحب أن أستمع لقصصك."" ومنذ ذلك اليوم، أصبحا صديقين يشاركان القصص والضحكات. "," بيوم مشمس، الصبي سأل العم اللي قاعد على الكرسي بالحديقة: ""شو اسمك مرة تانية؟"" العم ضحك وجاوب بحنية: ""اسمي حسن، وإنت؟"" الصبي رد ببراءة: ""أنا يوسف، وبحب سمع قصصك."" ومن هيديك النهارة، صارو صحاب يتبادلو القصص والضحكات. ",Lebanese
" في يوم مشمس، سألت جارتي أم أحمد عن السيد برون الذي يقطن بجانبنا. ""هل مستر برون هناك؟"" سألتها بفضول. ابتسمت أم أحمد وأجابت أن مستر برون غادر صباحاً لزيارة السوق. ومنذ ذلك الحين، أصبحت أم أحمد تحكي لي قصصاً عن أسفار مستر برون الشيقة. "," بنهار مشمس، سألت جارتي أم أحمد عن السيد برون يلي عايش حدنا. ""هل مستر برون هون؟"" سألتها من الفضول. ضحكت أم أحمد وقلتلي إنو مستر برون راح عالسوق الصبح. ومن بعدها، صارت أم أحمد تحكيلي قصص عن مشاوير مستر برون الممتعة. ",Lebanese
" في يوم مشمس، قررت ليلى شراء كتاب من الإنترنت. حينما استفسرت عن السعر، أخبرها البائع: ""حسنا، إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص"". فضلت ليلى خيار التوصيل الخاص لسرعته. وبعد ثلاثة أيام، استلمت ليلى الكتاب وبدأت في قراءته بحماس. "," بيوم مشمس، ليلى قررت تشتري كتاب من عالإنترنت. لما سألت عن السعر، البيّاع قلّها: ""ماشي، رح يكلفك خمسة وتمانين دولار بالبريد العادي وتلاتة دولار بالتوصيل الخاص"". ليلى فضلت تاخد التوصيل الخاص لأنو أسرع. وبعد تلات أيام، استلمت ليلى الكتاب وبلشت تقرأه بحماسة. ",Lebanese
" في يومٍ مشمسٍ، قرر أحمد أن يذهب في رحلة بحرية، فتوجه إلى الميناء وسأل الصياد: ""هل يمكن أن أؤجر قارب ليوم؟"" وافق الصياد وأعطاه مفاتيح القارب الصغير. استمتع أحمد بيومه مبحراً بين الأمواج، وعاد مع غروب الشمس وقلبه مليء بالسلام. "," بيوم مشمس، أحمد قرر يروح على رحلة بحرية، فتوجه للمينا وسأل الصياد: ""فيني استأجر قارب لليوم؟"" الصياد وافق وعطاه مفاتيح القارب الصغير. أحمد استمتع بيومو ماشي بين الموج، ورجع مع غروب الشمس وقلبو مليان بالسكينة. ",Lebanese
" عند أي نافذة يمكن أن أقوم بعمل الحجز؟ قالت المرأة بحيرة وهي تقف في الطابور الطويل. رد عليها الموظف بابتسامة، ""النافذة رقم خمسة يمكنك من خلالها إتمام حجزك."" وعندما وصلت إلى النافذة المحددة، وجدت أن الموظف كان صديقا قديما لها. فرحت كثيراً باللقاء المفاجئ وأنجزت حجزها بسهولة ويسر. "," على أي شباك بقدر إعمل الحجز؟ سألت المرأة محتارة وهي واقفة بالطابور الطويل. جاوبها الموظف بابتسامة ""عند شباك رقم خمسة بتقدري تخلصي حجزك."" ولما وصلت عالشباك يلي قال عنو، اكتشفت إنو الموظف كان صديق قديم. فرحت كتير بالمفاجأة وخلصت حجزها بسرعة وراحة. ",Lebanese
" وجد علي صندوقاً قديماً في العلية. تساءل بفضول ""ما هذا؟"". عند فتحه، اكتشف مجموعة من الرسائل القديمة. كانت الرسائل مليئة بقصص الأجداد ومغامراتهم. "," علي لقي صندوق قديم بالعليّة. سأل حالو بفضول ""شو هيدا؟"". لما فتحو، اكتشف مجموعة رسايل قديمة. الرسايل كانت مليانة قصص عن الجدود ومغامراتهن. ",Lebanese
" في يوم مشمس، سأل رجل عابر امرأة في الشارع، ""هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا؟"" فأجابته السيدة بابتسامة وأشارت إلى طريق مزدحم يؤدي إلى المكان المطلوب. وبينما كان يسير، أخذ يتأمل العمارات العالية والشوارع النظيفة. وصل الرجل في النهاية إلى الأوبرا، شاكرًا تلك السيدة في قلبه على مساعدتها. "," بنهار مشمس، سأل رجال واحدة عالطريق، ""فيكي تقوليلي كيف بقدر وصل عالأوبرا؟"" ردت عليه الست بابتسامة ودلتو على طريق مزدحم رح يوصلو للمكان يلي بدو ياه. وهوي عم يمشي، كان عم يتفرج على البنايات العالية والشوارع النضيفة. وصل الزلمة للأوبرا أخيرًا، ممنون الست يلي ساعدتو بقلبو. ",Lebanese
 في الليلة الماضية، كان خالد مخموراً بدرجة كبيرة. تعثر في طريقه إلى المنزل وأسقط مفاتيحه. في الصباح، استيقظ بصداع شديد ولا يتذكر ما حدث. شعر بالندم وقرر ألا يشرب الكحول مجدداً. , بالليلة الماضية، خالد كان مخمور كتير. وهوي راجع عالبيت، تعتر واهتزّ مفاتيحو. بالصباح، فاق مع وجع راس قوي ومش ذاكر شو صار. حس بالندم وحلف ما يشرب كحول تاني. ,Lebanese
" في يوم مشمس، ذهب خالد إلى المتحف الوطني. وجد على الباب لافتة تقول ""من فضلك اتبع التعليمات الصادرة من موظفينا"". داخل المتحف، التقى بمرشد ذكي أخبره بتاريخ القطع الأثرية. استمتع خالد بيومه وعاد إلى منزله مليئًا بالمعرفة والذكريات الجميلة. "," بيوم مشمس، خالد راح عالمتحف الوطني. عالباب شاف لافتة مكتوب عليها ""من فضلك اتبع التعليمات يللي موظفينا عم يعطوها"". جوا المتحف، خالد تعرف عمرشد ذكي حكيلو عن تاريخ القطع الأثرية. خالد انبسط بنهارو ورجع عبيتو معبى بالعلم وذكريات حلوة. ",Lebanese
 في يوم من الأيام، سأل رجل عابر السبيل عن محل متعدد الأقسام بالقرب من المنطقة. فأشار له المارة إلى متجر كبير خلف الساحة العامة. وعندما وصل، وجد كل ما يحتاجه من مستلزمات. شعر بالسعادة لأنه وجد مكاناً يلبي كافة احتياجاته. , بيوم، سأل واحد عن سوبرماركت كبير حواليه. العالم دلوه على محل كتير كبير ورا الساحة. لما وصل، لقى كل شي بحاجتو. فرح كتير لما لقى مكان بيجمع كل احتياجاتو. ,Lebanese
 املأ خزان الوقود من فضلك ؛ فالطريق طويل أمامك. وعندما أكملت المهمة، وجدت نفسي في قلب الصحراء. بلا أنيس سوى النجوم، أدركت قيمة الرفيق. ومع بزوغ الفجر، بدأت رحلة البحث عن واحة الأحلام. , عبّي تنك البنزين من فضلك؛ لأنو الطريق طويلة قدامك. ولما خلصت المهمة، لقيت حالي بقلب الصحرا. بلا صاحب إلا النجوم، فهمت قيمة الرفيق. ومع شروق الفجر، بلشت رحلة البحث عن واحة الأحلام. ,Lebanese
 في أحد الفنادق القديمة، سأل مسافر عن تكلفة الإقامة. هل يوجد غرفة بسعر أرخص ؟ فأجابه البواب بأن هناك غرفة بسعر معقول لكنها بدون نافذة. وافق المسافر مرغماً وقضى ليلة هادئة في الغرفة الصغيرة. , بواحد من الفنادق القديمة، سأل مسافر عن كلفة الإقامة. في غرفة بسعر أرخص؟ رد عليه البواب وقال في غرفة بسعر منيح بس بدون شباك. المسافر وافق مجبور وقضى ليلة مرتاحة بالغرفة الصغيرة. ,Lebanese
 أفضل سيارة بها نظام إلي لنقل الحركة، وهذا ما جعل أحمد يقرر شراءها. , ومع مرور الوقت، أصبح أحمد يوصي بها لكل أصدقائه. ,Lebanese
 سأقيم في مسكن الطلبة الخاص بجامعة هارفارد. سأستغل هذه الفرصة لأتعرف على ثقافات جديدة وأصدقاء من مختلف البلدان. ستكون الدراسة صعبة لكني مستعد للتحدي. وأخيرًا، أتمنى أن تساهم هذه التجربة في تحقيق أهدافي المستقبلية. , رح أقعد بسكن الطلاب تبع جامعة هارفارد. رح استفيد من هالفرصة لأتعرّف على ثقافات جديدة وأصحاب من أنحاء مختلفة. الدراسة رح تكون صعبة بس أنا جاهز للتحدي. وآخر شي، بتمنى هالتجربة تساعدني لتحقيق أهدافي المستقبلية. ,Lebanese
" في الصباح، استفسر أحمد عن سعر الصرف قائلاً ""ما هو سعر الصرف اليوم؟"" فأجابه الصراف بأن العملة قد ارتفعت قيمتها. شعر أحمد بالسعادة لأنه كان ينوي تحويل مبلغ كبير. وبعد إتمام التحويل، خرج مبتسماً من مكتب الصرافة. "," بالصبح، أحمد سأل الصراف ""شو سعر الصرف اليوم؟"" الصراف قلّو إنو العملة صارت أعلى بالقيمة. أحمد حس بالفرح لأنو كان عم ينوي يحوّل مبلغ كبير. وبعد ما خلص التحويل، طلع مبتسم من مكتب الصرافة. ",Lebanese
 كان يوسف يعاني من الربو منذ الطفولة، وكانت نوبات الأزمة تهاجمه بشكل مفاجئ. في يوم من الأيام، تعرض لنوبة شديدة أثناء تواجده في المدرسة. استدعى المعلمون الإسعاف، وتم نقله إلى المستشفى. منذ ذلك الحين، حرص يوسف على حمل بخاخ الربو معه أينما ذهب. , يوسف كان عم يعاني من الربو من وقت ما كان صغير، وكانت النوبات بتجيه بلا أي تحذير. في يوم من الأيام، أجته نوبة قوية وهوي بالمدرسة. الأساتذة نادوا الإسعاف، وتم نقل يوسف عالمستشفى. من وقتها، صار يوسف دائمًا يحمل معه البخاخ تبع الربو وين ما راح. ,Lebanese
 معي حوالي ثلاثة آلاف دولاراً، فقررت أن أستثمرها في مشروع صغير. بدأت بمحل لبيع الحلويات في الحي. سرعان ما اشتهر المحل بجودة منتجاته. وبعد عام، تمكنت من فتح فرع ثاني. , معي حوالي تلاتة آلاف دولار، فكرت إستثمرن بمشروع صغير. فتحت محل حلويات بالحي. المحل صار معروف كتير بجودة منتجاتو. وبعد سنة، قدرت فتح فرع تاني. ,Lebanese
" في مطعم راقٍ، جلس أمير يتأمل القائمة بشغف. حين اقتربت النادلة، سألته عن اختياره للطعام. أجاب أمير بحيرة: ""حسناً، سيدي. فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم، أيهما تحب؟"" بتفكير عميق وابتسامة، اختار أمير الأرز بالتوابل واللحم متخيلاً النكهات الغنية التي ستداعب حاسة التذوق لديه. "," بمطعم فخم، أمير كان قاعد عم يتفحص القائمة بحماسة. لما اقتربت النادلة، سألت شو بدو يطلب. رد أمير محتار: ""ممم، سيدي. جبتيلي خيارين بطاطا مقلية أو رز مع بهارات ولحمة، شو بتفضل؟"" بعد تفكير وابتسامة، اختار أمير الرز مع البهارات واللحمة وهو عم يتخيل الطعمات الرائعة يلي رح تدغدغ حاسة التذوق عنده. ",Lebanese
" ذهب أحمد في رحلة إلى مدينة غريبة وتاه عن طريقه. سأل رجلاً في الشارع: ""كيف أصل إلى ذلك المكان؟"" فأشار الرجل إلى الطريق الصحيح بلطف. وأخيرًا، وصل أحمد إلى وجهته بفضل المساعدة التي حصل عليها. "," راح أحمد ع رحلة لمدينة جديدة وضيع طريقو. سأل واحد عالطريق: ""كيف بدي وصل لهالمكان؟"" والرجال دلّو على الطريق الصح بكل أدب. وأخيراً، وصل أحمد للمحل يلي كان عم يروحلو ممنون للمساعدة يلي جابها. ",Lebanese
 في يوم من الأيام، وجد الصياد قنينة عتيقة على شاطئ البحر. عندما فتحها، خرج منها جني وعده بثلاث أمنيات. فطلب الصياد السلامة لعائلته، وشباكًا لا تتمزق، وسفينة تبحر بلا توقف. ومنذ ذلك اليوم، عمّ الرخاء في حياة الصياد وأصبح مشهورًا بين الناس. , بيوم من الأيام، لقى الصياد قنينة قديمة على شاطئ البحر. لما فتحا، طلعلو جنّي ووعدو بتلاتة أمنيات. الصياد طلب سلامة عيلتو، وشباك ما بتتقطع، ومركب بيسير بلا وقوف. ومن يومها، صارت حياة الصياد مديدة وصار معروف بين الناس. ,Lebanese
 كان هناك رجل يزور البحر كل يوم. في يوم من الأيام، وجد زجاجة قديمة مغلقة تحتوي على رسالة. قرأ الرسالة واكتشف أنها خريطة كنز. بحث عن الكنز ثلاث مرات حتى وجده. , كان في رجل عم بيزور البحر كل يوم. بيوم لقى قنينة قديمة وجواتها رسالة. لما قرا الرسالة، اكتشف إنها خريطة كنز. دور تلات مرات عالكنز لحتى لقاه. ,Lebanese
" كان علي يبحث عن طوابع ليرسل رسالة. سأل أحد المارة: ""أي نافذة تبيع الطوابع؟"" فأشار الرجل إلى النافذة الثالثة. شكره علي واشترى الطوابع التي يحتاجها بسرعة. "," علي كان عم يدور على طوابع ليبعت رسالة. سأل حدا مروق: ""أي نافذة بتبيع طوابع؟"" الزلمة دلو على النافذة التالتة. علي شكره واشترى الطوابع يللي بدو ياها بسرعة. ",Lebanese
 بعد أن هاجمني، هرب في شاحنة بيضاء. قمت بإبلاغ الشرطة فوراً وبدأت في وصف الشاحنة والمهاجم. بحثت الشرطة في كل مكان وتمكنوا من العثور على الشاحنة متوقفة بالقرب من محطة الوقود. تم القبض على الجاني واستعدتُ أغراضي التي سُرقت. , بعد ما هجم عليي، هرب بشاحنة بيضا. عطيت خبر للبوليس عالسريع ووصفتلن شكل الشاحنة والزلمة يلي هجم عليي. البوليس دوروا بكل مكان وقدروا يلاقوا الشاحنة واقفة حد محطة بنزين. قبضوا على الحرامي ورجعتلي سرقاتي. ,Lebanese
" كان أحمد ينوي شراء هدية لأمه. حين وصل إلى المتجر، قدم له البائع قسيمة خصم. قال البائع ""حسنًا، من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار"". شعر أحمد بسعادة غامرة لأنه سيوفر المال ويشتري هدية مميزة لأمه. "," أحمد بدّو يشتري هدية لإمّو. لمّا وصل عالمحل، البيّاع عطاه قسيمة تخفيض. قلّو البيّاع ""حسنًا، من فضلك إمسك هالقسيمة وورجيها إلي لمّا تختار"". فرح أحمد كتير لأنو رح يوفّر مصاري ويشتري هدية حلوة لإمّو. ",Lebanese
" كان يحسب أن السوق بعيد، فقرر أن يستقل الحافلة. وعندما وصل، رأى الشيء الذي طالما رغب في شرائه. فكر في الأمر قليلاً وقال لنفسه: ""كنت سأشتري هذا إن كنت في مكانك"". وبلا تردد، أخرج محفظته واشترى الغرض مبتسماً. "," كان مفكر إنو السوق بعيد، فقرر يركب الباص. ولما وصل، شاف الشغلة يللي كان عم يحلم يشتريها. فكر شوي وقال لحالو: ""كنت رح اشتري هيدا لو كنت محلك"". ومن دون تردد، طلع محفظتو واشترى الشي وهوي مبتسم. ",Lebanese
 كان لدى علي فاتورة يجب أن يدفعها بقيمة مائتي دولار. تساءل إن كان يجب عليه دفع المبلغ نقدًا فوريًا أم عبر البطاقات الائتمانية. قرر في النهاية استخدام بطاقته الائتمانية لجمع نقاط المكافآت. بعد الدفع، شعر بالراحة لأنه أدار أمواله بحكمة. , عند علي فاتورة لازم يدفعها بميتين دولار. كان عم يفكر إذا بدو يدفع نقداً هلق أو بالبطاقة الائتمانية. قرر بالنهاية يستخدم الكريديت كارد تا ياخد البوينتس. بعد ما دفع، حس براحة لأنو ضبط مصاريفو منيح. ,Lebanese
" كان البحار قديماً يسأل: ""كم من الوقت تستغرق السفينة لعبور هذا المحيط؟"" وكان الجواب دائماً محاطاً بالغموض. في إحدى الرحلات، قرر أن يقيس الوقت بنفسه. أبحر لأيام وليالٍ حتى وصل إلى الشاطئ الآخر. وأخيراً، استطاع أن يخبر الناس أن الرحلة استغرقت ثلاثين يوماً بالضبط. "," البحّار زمان كان يسأل: ""قديش بتاخد السفينة لتعبر هالمحيط؟"" والجواب دايمًا كان مليان غموض. بإحدى الرحلات, قرر يعد الوقت لحالو. راح بالبحر أيام وليالي لحتى وصل على الشاطئ التاني. وأخيرًا، قدر يخبر الناس إنو الرحلة أخدت تلاتين نهار بالزبط. ",Lebanese
" في يوم من الأيام، سأل مريض طبيبه: ""هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء؟"" فأجابه الطبيب بأنه يجب عليه الابتعاد عن الأطعمة الدهنية والحارة. وببداية فترة العلاج، شعر المريض بصعوبة في التأقلم مع النظام الغذائي الجديد. ولكن مع مرور الوقت، تحسنت صحته بشكل ملحوظ، وشعر بالامتنان لنصيحة طبيبه. "," في مرة، واحد سأل طبيبو: ""خلال فترة ما بتناول هالدوا، في أكل معين لازم إبعد عنو؟"" طبيبو أجابو إنو لازم يتجنب الأكل الدسم والحراق. بأول العلاج، كان يعاني ليتأقلم مع الأكل الصحي الجديد. بس مع الوقت، صار يحس بتحسن كتير وصار ممنون لنصيحة طبيبو. ",Lebanese
 في يوم مشمس، دخل رجل إلى محل الأحذية متسائلاً عن أحذية حريمي عند أصابع القدم. البائع، بابتسامة عريضة، أومأ إلى الركن حيث تتلألأ تشكيلة واسعة من الصنادل الأنيقة. الرجل اختار زوجاً لزوجته بعناية فائقة، متأملاً في تفاصيل التصميم الرقيقة. وعندما عاد إلى المنزل، قدم الهدية لزوجته التي ارتسمت على وجهها ابتسامة الرضا والسعادة. , بيوم مشمس، دخل رجال على محل أحذية وسأل إذا في عندن جزمة حريمي عند صوابع الرجلين. البياع ابتسم وأشر له على زاوية فيها مجموعة حلوة كتير من الصنادل. الزلمة انتقى زوج أحذية لمرتو بدقة، وتأمل بالتفاصيل الناعمة اللي فيها. ولما رجع عالبيت، قدم الهدية لمرتو وشاف السعادة مرسومة على وجها. ,Lebanese
" في أحد الأيام، قرر محمد السفر عبر الحدود لزيارة أقاربه. قبل الرحلة، سأل صديقه: ""هل ستواجهني أية صعوبات في الجمارك؟"" صديقه أكد له أنه إذا كانت أوراقه مكتملة فلن يواجه أي مشاكل. وعندما وصل محمد إلى الجمارك، مرّ بسهولة بعد أن قدّم جميع الوثائق المطلوبة. "," في يوم من الأيام، محمد قرر يسافر عبر الحدود ليزور أهلو. قبل ما يروح، سأل رفيقو: ""رح إواجه صعوبات بالجمارك؟"" رفيقو طمّنو وقلّو إذا كانت كل الأوراق مظبوطة ما رح يصير مشاكل. ولما وصل محمد عالجمارك، عدّى بسهولة بعد ما قدّم كل الوثائق يلّي طلبوها. ",Lebanese
 في إحدى الحانات القديمة، طلب رجل من النادل بعض النبيذ الأحمر. وبينما هو يتذوق الرحيق الأحمر، دخلت امرأة ذات ملامح جميلة. نظر إليها مليًا وابتسم، فقد كانت صديقته القديمة التي لم يرها منذ سنوات. , بواحد من البارات العتيقة، طلب رجال من الويتر شوي نبيذ أحمر. وهوي عم يتذوق العصير الأحمر، دخلت مرا حلوة كتير. ضل يطلع فيها وضحك، لأنها كانت صاحبتو يللي ما شافها من زمان. ,Lebanese
 أخبرني عندما نصل إلى المتحف. وعندما وصلنا، كان المتحف مغلقًا بسبب التجديدات. شعرت بخيبة أمل كبيرة، ولكن صديقي اقترح أن نتجول في الحديقة بدلاً من ذلك. في الحديقة، وجدنا معرضًا فنيًا مفتوحًا كان يعرض لوحات نادرة. ," Khallini a3ref lamma nwasel 3al mat7af. Wlamma wasalna, l mat7af ken msakkar la2anno 3am y3emlo tajdeed. Hasisse b khaybe kbeer, bas rfe2i 2al yalla nrou7 nta7awwel bl hadee2a ma7all el mat7af. Wbl hadee2a, 2elna ma3rad fanne mftou7 3am y3ared lo7at nadra. ",Lebanese
" في أحد الأيام، سأل محمود السائق: ""هل يذهب هذا الأتوبيس إلى فندق الشيراتون؟"" فأجابه السائق بابتسامة وقال: ""نعم، اصعد وتفضل بالجلوس."" خلال الرحلة، تعرف محمود على مسافرين من مختلف الجنسيات. وبعد وصوله، شكر السائق وتمنى له يومًا سعيدًا. "," بيوم من الأيام، محمود سأل السواق: ""بتروح هالباص لفندق الشيراتون؟"" السواق ضحك وقلّو: ""ايه، تفضل اطلع واقعد."" بالطريق، محمود تعرّف على ناس من دول كتير. ولما وصل، شكر السواق وتمنالو يوم حلو. ",Lebanese
" في يوم ما، تساءل خالد عن نتائج جهوده. ""إلى أي شيء وصل ذلك الأمر؟""، قال وهو ينظر إلى الأفق. بعد عام، أصبحت فكرته مشروعًا ناجحًا. وأدرك أن الصبر والمثابرة هما مفتاح النجاح. "," بيوم من الأيام، خالد كان عم يسأل حالو عن نتائج تعبو. ""شو وصلت هالقصة؟""، قال وعم يطلع عالأفق. بعد سنة، صارت فكرتو مشروع ناجح. واكتشف إنو الصبر والمثابرة هني مفتاح النجاح. ",Lebanese
 كان الجو حارًا ذلك اليوم، وشعرت بالضيق في الغرفة. إنه ساخن بدرجة بسيطة. هل يمكن أن أفتح النافذة؟ سألت وأنا أنظر إلى زملائي في الصف. وبمجرد أن فتحتها، هبت نسمة منعشة جعلتنا جميعًا نشعر بالراحة. , كان الجو حار هاليوم، وحسيت بحرجة داخل الغرفة. هيدي حرارة بسيطة. فيي فتح الشباك؟ سألت وأنا عم بطل على صحابي بالصف. وأول ما فتحتو، دخلت نسمة باردة خلتنا كلنا نرتاح. ,Lebanese
" في يوم من الأيام، كان هناك رجل يملك دشاً واحداً في بيته. دائماً ما كان يقول لأولاده ""فقط دش يكفي"". ولكن في أحد الأيام، تعطل الدش وأصبح الجميع في حيرة من أمرهم. في النهاية، اضطروا إلى الاستحمام بدلو الماء حتى يتم إصلاحه. "," بيوم من الأيام، كان في رجال عندو دش واحد بالبيت. دايماً كان يحكي لأولاده ""بس دش يكفي"". بس بيوم من الأيام، الدش بطل يشتغل وكل العيلة ضلو حيارى. بالآخر، صار لازم يستحمو بالطشت لين يتصلح. ",Lebanese
 عيني محمرة قليلا لأنني قضيت ساعات طويلة أمام الكمبيوتر. شعرت بالتعب والإرهاق بعد يوم عمل شاق. قررت أن أخذ استراحة وأذهب للتنزه في الحديقة. هناك، التقيت بصديق قديم وتبادلنا أطراف الحديث. , عيوني صارت حمرا شوي لأنو قعدت ساعات طويلة قدام الكمبيوتر. حسيت بالتعب والإرهاق بعد يوم شغل طويل. قررت خد استراحة وروح اتمشى بالحديقة. هنيك، لقيت صديق قديم وحكينا شوي. ,Lebanese
