MSA,Saudi,lang
 إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني . وعندما عادت، وجدته قد غادر دون أن يودع. شعرت بالحيرة والقلق، فقد كانت تحمل له هديته المفضلة. بدأت تبحث عنه في كل أنحاء المبنى، تنادي اسمه بصوت عالٍ. وأخيرًا، وجدته في الحديقة ينظر إلى النجوم، فابتسمت وقدمت له الهدية. , هي في آخر القاعة. بجيب لك شوي منها الحين. إذا تبغى شيء ثاني بس قل لي. ويوم رجعت، لقته مشى من دون ما يسلم عليها. حست بحيرة وقلق، كانت جايبة له هديته المفضلة. بدت تدور عليه في كل أرجاء المبنى، تنادي اسمه بصوت عالي. وأخيرًا، لقته في الحديقة يناظر النجوم، ابتسمت وأعطته الهدية. ,Saudi
" في أحد الأيام، كان هناك رجل يعمل في النجارة يسمى أحمد. كان دائمًا يسأل زبائنه ""هل تقومون بعمل تعديلات؟"" ليتأكد من رضاهم عن العمل. في إحدى المرات، أتى زبون طلب تعديل طاولة لتناسب تصميم منزله الجديد. أحمد عمل بجد على التعديل وفي النهاية، أبدى الزبون امتنانه لمهارة أحمد ودقته. "," في يوم من الايام، كان فيه واحد نجار اسمه أحمد. دايم كان يسأل عملائه ""هل تقومون بعمل تعديلات؟"" عشان يتأكد إنهم راضين عن الشغل. في مره جا عميل طلب يعدل في طاولة عشان تناسب بيته الجديد. أحمد شغل فيها بكل اجتهاد وفي الأخير، العميل شكره على مهارته ودقته. ",Saudi
 في أحد المطاعم الفاخرة، طلب أحمد وأسرته نريد مائدة بجانب النافذة ليتمتعوا بالمنظر الخلاب. بعد أن جلسوا، بدأت الأسرة بتقديم طلباتهم من قائمة الطعام. أثناء تناولهم الطعام، مرت مجموعة من الطيور الجميلة أمام النافذة، فأضافت جوًا من البهجة على وجبتهم. انتهوا من الأكل وشعروا بالرضا عن تجربتهم الرائعة في هذا المكان. , في واحد من المطاعم الفاخرة، أحمد وعائلته طلبوا نبغى طاولة عند النافذة عشان يستمتعون بالمنظر الجميل. بعد ما جلسوا، العائلة بدت تطلب من القائمة. وهم يأكلون، مرت مجموعة من الطيور الحلوة قدام النافذة وزادت من جمال الأكل. خلصوا الأكل وهم مبسوطين بالتجربة الحلوة اللي عاشوها هناك. ,Saudi
 هناك، أمام بيت السائح تماما، وقف قط أسود ينظر إليه بفضول. عندما فتح السائح الباب، دخل القط دون تردد. وجد السائح نفسه يبتسم، فقد رأى في عيني القط قصة مغامرات لم تُروَ بعد. ومع مرور الأيام، أصبح القط رفيقه في كل رحلاته ومغامراته. , هناك، قدام بيت السائح بالضبط، وقف قط أسود يناظر فيه بفضول. يوم السائح فتح الباب، دخل القط بدون تردد. السائح لقى نفسه يبتسم، لأنه شاف في عيون القط قصص مغامرات ما تمت سردها. ومع الأيام، صار القط صديقه في كل رحلاته ومغامراته. ,Saudi
 لم أسمع بهذا العنوان من قبل بالقرب من هنا. سألت الناس في الحي عنه لكن لا أحد يعرفه. قررت البحث عنه في الخرائط القديمة بالمكتبة. وأخيراً، وجدت العنوان مخفياً في إحدى الكتب النادرة. , ما سمعت بهالعنوان من قبل هنا حولينا. سألت الناس في الحارة عنه بس ماحد عرفه. قررت أدور عليه في الخرائط القديمة اللي في المكتبة. وأخيراً، لقيت العنوان مستخبي في واحد من الكتب النادرة. ,Saudi
 استمر في السير في هذا الطريق حتى تجد صيدلية. عندما وصل إلى الصيدلية، اكتشف أنها مغلقة. شعر بالإحباط لكنه قرر أن ينتظر. بعد ساعة، فتح الصيدلي الباب واستطاع أن يشتري الدواء. , استمر بالمشي على هذا الطريق حتى تلقى صيدلية. لما وصل للصيدلية، اكتشف أنها مقفلة. حس بالإحباط بس قرر ينتظر. بعد ساعة، فتح الصيدلي الباب وتمكن من شراء الدواء. ,Saudi
 في أحد أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل مكان. قررت أن تشتري فستانًا جديدًا بنفس اللون لتواكب الموضة. وعندما ارتدته في الحفل، لفتت الأنظار إليها بجمالها. ومن ذلك اليوم، أصبح اللون الأخضر لونها المفضل في كل المواسم. , في يوم من أيام الربيع، لاحظت ليلى إن اللون الأخضر صار شائع في كل مكان. قررت تشتري فستان جديد بهذا اللون عشان تكون على الموضة. ويوم لبسته في العرس، الكل صار يطالع فيها من جمالها. ومن ذاك اليوم، اللون الأخضر صار اللون المفضل لها في جميع الفصول. ,Saudi
 كان خالد يسافر كثيرًا بسبب طبيعة عمله في التجارة الدولية. في إحدى رحلاته، التقى بتاجر من بلد آخر وأصبحا صديقين. في حالتي، غالبًا ما يكون من أجل العمل ونادرًا ما يكون للاستمتاع. لكن هذه المرة، قرر خالد أن يأخذ يومًا للتجول واكتشاف المدينة مع صديقه الجديد. , خالد دايم يسافر كثير بسبب عمله في التجارة الدولية. في وحدة من رحلاته، تعرف على تاجر من دولة ثانية وصاروا أصدقاء. في حالتي، أغلب الوقت أسافر للعمل ونادرًا للمتعة. لكن هالمرة، خالد قرر ياخذ يوم يتمشى ويكتشف المدينة مع صاحبه الجديد. ,Saudi
 سأقيم لمدة يومين في بيت جدي القديم. وجدت هناك صندوقاً مليئاً بالذكريات. قضيت الساعات أتصفح الصور والرسائل. شعرت بحنين عميق للأيام التي مضت. , بأقعد يومين في بيت جدي القديم. لقيت هناك صندوق مليان بالذكريات. قضيت ساعات أشوف الصور والخطابات. حسيت بشوق كبير للأيام اللي راحت. ,Saudi
 أرادت ليلى تمويج شعرها بشكل متقارب، فقررت زيارة صالون التجميل المشهور في المدينة. عند وصولها، شرحت للمصففة بالضبط ما تريده. بعد ساعات من العمل، نظرت في المرآة فأعجبها شكل شعرها الجديد. شعرت بالثقة والسعادة، وأصبحت محط الأنظار في كل مكان تذهب إليه. , ليلى تبغى تسوي شعرها كيرلي متقارب، قررت تروح لصالون التجميل المشهور بالمدينة. لما وصلت، وضحت للكوافيرة بالضبط اللي تبغى. بعد ساعات من العمل، شافت شعرها بالمراية وعجبها كثير شكله الجديد. حست بثقة وسعادة، وصارت محط الأنظار في كل مكان تروح له. ,Saudi
" في يوم مشمس، قرر أحمد وعائلته الذهاب في رحلة إلى البحر. قبل الرحلة بأسبوع، قال أحمد ""أريد حجز غرفتين مزدوجتين"". وجد فندقًا جميلًا يطل على الشاطئ وقام بالحجز. استمتعت العائلة بوقتها، وكانت الإجازة ناجحة. "," في يوم مشمس، أحمد وعائلته قرروا يروحون رحلة للبحر. قبل الرحلة بأسبوع، قال أحمد ""أبغى أحجز غرفتين مزدوجتين"". لقى فندق حلو يطل على الشاطئ وسوا الحجز. العائلة استمتعوا بوقتهم وكانت الإجازة ممتازة. ",Saudi
 كانت هناك شجرة عملاقة أمام منزل أحمد، وكان يحب الجلوس تحت ظلها كل يوم. لا أريد إزالتها، فهي تحميني من حر الصيف وتمنحني الهواء النقي. جاءت البلدية لإزالة الشجرة بحجة توسعة الطريق، لكن أحمد تصدى لهم بكل قوة. وفي النهاية، نجح في إقناعهم بتغيير مسار الطريق والحفاظ على الشجرة. , كان فيه شجرة كبيرة قدام بيت أحمد، وكان يحب يجلس تحت ظلها كل يوم. ما أبغى أزيلها، هي تحميني من حر الصيف وتعطيني هواء نقي. البلدية جت تبغى تزيل الشجرة بحجة توسعة الشارع، بس أحمد وقف في وجههم بكل قوته. وفي النهاية، قدر يقنعهم يغيرون مسار الشارع ويحافظون على الشجرة. ,Saudi
" في أحد الأيام، سأل رجل عجوز عن محطة الحافلة. ""هل هذه الحافلة تتوقف في شارع أستونر؟""، سأل السائق. أومأ السائق برأسه مؤكدًا، ودعا الرجل للصعود. شكر الرجل السائق وجلس ينتظر، متأملاً المناظر الجميلة من النافذة. "," في يوم، رجل كبير سأل عن موقف الباص. ""هل هذا الباص يوقف في شارع أستونر؟""، سأل السواق. السواق أشر برأسه وقال له يلا اركب. الرجل شكر السواق وجلس ينتظر، يتمعن في المناظر الجميلة من الدريشة. ",Saudi
 من فضلك افتح فمك على مداه. قال الطبيب ذلك بينما كان يحضر أدواته للفحص. شعر الطفل بالقلق ولكنه أطاع الأمر. بعد الفحص، ابتسم الطبيب مطمئنًا الطفل بأن كل شيء على ما يرام. , تكفى افتح فمك على مداه. الدكتور قال كذا وهو يجهز أدواته للفحص. الولد حس بشوية خوف بس أطاع. بعد ما أنهى الكشف، الدكتور ابتسم وطمن الولد إن كل شيء زين. ,Saudi
 كان هناك رجل جائع يسأل عن سعر وجبة الإفطار. فأخبره النادل أن الإفطار يكلف عشرة دنانير. شعر الرجل بالسعادة لأن السعر كان في متناوله. وبعد الإفطار، شكر الرجل النادل وانصرف وهو يشعر بالرضا. , كان فيه واحد جوعان سأل عن كم تكلفة الفطور. النادل قاله إن الفطور بعشرة ريال. الرجال فرح لأن السعر كان مناسب له. وبعد ما فطر، شكر الرجال النادل وراح وهو مرتاح. ,Saudi
" كان هناك شاب يعمل في مكتب الاستعلامات. جاءت سيدة تبدو محتارة فسألها: ""كيف أستطيع مساعدتك؟"" فأجابت السيدة بأنها تبحث عن مكتب الضرائب. ابتسم الشاب وأرشدها إلى المكان المطلوب بكل أدب واحترام. "," كان فيه شاب يشتغل في مكتب الاستعلامات. جته وحدة سيدة تبدو محتارة فقال لها: ""كيف أقدر أساعدك؟"" السيدة قالت إنها تدور على مكتب الضرائب. الشاب ابتسم ودلها على المكان اللي تبغاه بكل أدب واحترام. ",Saudi
 دعنا نأخذ قطعة لنأكلها. ذهب محمد وعلي إلى الحديقة واختارا أجمل تفاحة. قسماها بينهما واستمتعا بطعمها اللذيذ. جلسا تحت الشجرة يتحدثان عن أحلامهم. وتمنيا لو أن كل يوم يمكن أن يكون بهذه البساطة والسعادة. , خلونا ناخذ قطعة ناكلها. محمد وعلي راحوا للحديقة واختاروا أحلى تفاحة. قسموها بينهم واستمتعوا بطعمها الزين. جلسوا تحت الشجرة يتكلمون عن أحلامهم. وتمنوا لو كل يوم يمكن يكون بالبساطة والفرح هذا. ,Saudi
 في يوم مشمس، قرر خالد الخروج للتنزه في المدينة. اتجه يسارًا عند الناصية الثالثة حيث وجد متجرًا قديمًا لبيع الكتب. دخل المتجر وقضى ساعات يتصفح الكتب النادرة. وفي النهاية، اشترى كتابًا قديمًا يحكي عن تاريخ المدينة. , في يوم مشمس، خالد قرر يطلع يتمشى في المدينة. اتجه يسار عند الزاوية الثالثة ولقى مكتبة قديمة. دخل المكتبة وقعد ساعات يتصفح الكتب القديمة. وفي النهاية، اشترى كتاب قديم يحكي عن تاريخ المدينة. ,Saudi
" لم يكن لدى أحمد غير قميص واحد للحفل، فسأل والدته: ""هل لك أن تقوم بتنظيف هذه الملابس؟"" وافقت والدته بحنان وأخذت الملابس لتنظفها. بعد ساعات، عادت الملابس ناصعة كأنها جديدة. شعر أحمد بالامتنان ووعد بأن يعتني بملابسه أكثر في المستقبل. "," أحمد ما كان عنده إلا قميص واحد للحفلة، قال لأمه: ""تقدرين تغسلين هالثياب؟"" أمه وافقت بكل حنان وأخذت الثياب تغسلها. بعد ساعات، الثياب رجعت نظيفة كأنها جديدة. أحمد حس بالشكر وعاهد نفسه يحافظ على ثيابه أكثر من الحين. ",Saudi
 في يوم مشمس، قرر أحمد أن يبحث عن صديق قديم. وجد في دفتره العنوان ورقم الهاتف الذي كان يبحث عنه. لم يتردد في الاتصال وسأل إن كان بإمكانه زيارته، فأعطيك رقم تليفونه وعنوانه. وعندما التقيا، أمضيا وقتًا ممتعًا يستعيدان ذكريات الماضي. , في يوم مشمس، أحمد قرر يدور على صديقه القديم. لقى في مذكرته العنوان ورقم الجوال اللي كان يبغى يحصل عليه. ما تردد واتصل عليه وسأله إذا يقدر يزوره، وأعطاه رقم جواله وعنوانه. ويوم التقوا، قضوا وقت ممتع يسترجعون ذكريات الأيام الخوالي. ,Saudi
 لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماً. وعند وصولي إلى الفندق، استقبلني الموظفون بحفاوة بالغة. أخذت مفتاح غرفتي وصعدت إلى الطابق الخامس حيث الإطلالة الساحرة على البحر. قضيت وقتاً ممتعاً في الفندق حيث الخدمات المتميزة والجو الودي. , دفعت قيمة الوجبات والفندق مقدماً. ويوم وصلت للفندق، استقبلوني العاملين بكل حفاوة وتقدير. أخذت مفتاح غرفتي وصعدت للدور الخامس اللي يطل على البحر بشكل ساحر. استمتعت بوقتي في الفندق مع الخدمات الراقية والجو الودود. ,Saudi
 في يوم مشمس، قرر محمد أن يبحث عن مطعم للمشويات يحظى بشعبية كبيرة. وبينما هو يتجول في الشوارع، التقى صديقه أحمد الذي أوصى بمطعم ممتاز. أخرج محمد هاتفه وبدأ يبحث عن المطعم على الخريطة. وجد المطعم بسهولة وتمتع بوجبة لذيذة لم ينساها أبدًا. , في يوم مشمش، محمد قرر يدور على مطعم شواء مشهور والناس تحبه كثير. وهو ماشي في الشوارع، قابل صديقه أحمد اللي أوصى له بمطعم ممتاز. محمد طلع جواله وبدأ يبحث عن المطعم في الخريطة. حصل المطعم بسهولة واستمتع بوجبة ما ينساها أبدًا. ,Saudi
 كان أحمد قد اشترى مزهرية جميلة ليزين بها منزله. لكن بينما كان يحاول ترتيبها على الرف، اختل توازنه وتسبب في سقوطها. أنت تقوم بكسرها، فأنت الذي اشتريتها، قالت زوجته وهي تنظر إلى القطع المتناثرة. شعر أحمد بالحزن لفقدان الجمال الذي كانت تضفيه المزهرية على المكان. , أحمد اشترى مزهرية حلوة يزين بها بيته. وهو يرتبها على الرف، مال وطاحت. أنت اللي كسرتها، أنت اللي اشتريتها، قالت زوجته وهي تشوف القطع على الأرض. أحمد حس بالحزن لأن المزهرية الحلوة اللي كانت تزين المكان انكسرت. ,Saudi
 سوف أخبرها بأن تتصل بك بمجرد أن تصل. وبالفعل، بعد وصولها مباشرة، رنّ هاتفك. كان صوتها مليئًا بالحماس عندما أخبرتك عن الأخبار السارة. اتفقتما على الاحتفال بالمناسبة السعيدة مساءً. , بقول لها تدق عليك أول ما توصل. وصدق، يوم وصلت دق جوالك. سمعت صوتها فرحانة وتخبرك بالأخبار الزينة. واتفقتوا تحتفلون بهالمناسبة بالمساء. ,Saudi
 جاد حب دائمًا أن يضع قشدة وسكر في قهوته. ذات صباح، وجد أن القشدة قد نفدت. ذهب إلى السوق ليشتري بعضها، وفي طريقه التقى بأصدقاء قدامى. تحدثوا وضحكوا، ونسي جاد شراء القشدة تمامًا. , جاد يحب دائماً يضيف قشدة وسكر على قهوته. في صباح يوم، اكتشف إن القشدة خلصت. راح للسوق يجيب قشدة جديدة، وفي الطريق قابل أصدقاء قدام. سولفوا وضحكوا، وجاد نسى يشتري القشدة تماماً. ,Saudi
 ذهبت فاطمة للعب الكرة مع أصدقائها. لقد أصيبت إصابة بالغة أثناء اللعب. نقلها الجميع على الفور إلى المستشفى. بعد العلاج، تمكنت من الشفاء بسرعة. , فاطمة راحت تلعب كورة مع ربعها. أصيبت بإصابة شديدة وهي تلعب. على طول نقلوها للمستشفى. بعد ما تعالجت، صارت بخير بسرعة. ,Saudi
 كان هناك رجل يدعى أحمد كان يبحث عن قداحة لإشعال شمعة في ليلة مظلمة. وجد أحمد قداحة مرمية على الأرض بجانب متجر صغير. بعد أن أشعل الشمعة، أدرك أحمد أن الضوء يجلب الأمل في أحلك الأوقات. ومنذ تلك اللحظة، أصبح يحتفظ دائماً بقداحة في جيبه ليكون مستعدًا لأي ظرف. , كان فيه واحد اسمه أحمد كان يدور على ولاعة عشان يشعل شمعة في ليلة مظلمة. لقى أحمد ولاعة متروكة على الأرض يم محل صغير. بعد ما أشعل الشمعة، عرف أحمد إن النور يجيب الأمل في أحلك الأوقات. ومن بعدها، صار يحتفظ دايمًا بولاعة في جيبه عشان يكون مستعد لأي ظرف. ,Saudi
 في يوم من الأيام، سأل رجل أعمال عن تجهيزات المؤتمرات في فندق معين. فأجابه الموظف بكل فخر أن الفندق مزود بأحدث التقنيات. قرر الرجل إقامة مؤتمره الدولي هناك. وفي النهاية، كان المؤتمر نجاحاً باهراً وأثنى الجميع على التنظيم والتجهيزات. , في يوم من الأيام، رجل أعمال سأل عن تجهيزات المؤتمرات في فندق معين. الموظف رد عليه بفخر إن الفندق مجهز بأحدث التجهيزات. الرجال قرر يقيم مؤتمره الدولي هناك. وفي النهاية، المؤتمر كان ناجح جداً والجميع مدحوا التنظيم والتجهيزات. ,Saudi
" في أحد الأيام، سأل خالد صديقه عمر: ""هل من المناسب أن نتناول وجبة خفيفة؟"" فأجابه عمر بابتسامة: ""بالطبع، خصوصاً إذا كانت صحية."" ثم ذهبا معاً إلى المقهى المجاور وطلبا سلطة فواكه وعصير طازج. وبينما هما يتناولان وجبتهما، تبادلا الأحاديث والضحكات، فقد كان يوماً ممتعاً. "," في يوم من الأيام، خالد سأل صديقه عمر: ""تعتقد يصير ناخذ لنا سناك خفيف الحين؟"" عمر ابتسم وقال: ""أكيد، خصوصًا إذا كان شيء صحي."" بعدها راحوا للكافيه اللي جنبهم وطلبوا سلطة فواكه وعصير طازج. وهم ياكلون، سولفوا وضحكوا مع بعض، وكان يوم جميل. ",Saudi
" في طريقه إلى المطار، شعر أحمد بالتوتر. عندما وصل، اتصل بصديقه قائلاً: ""أنا أتصل من المطار. سأصل هناك في حوالي الساعة الرابعة."" وجد صديقه في انتظاره بابتسامة دافئة. معاً، توجها نحو المغامرة الجديدة. "," أحمد كان متوتر وهو في طريقه للمطار. لما وصل، دق على رفيجه وقال: ""أنا أدق من المطار. بوصلكم حوالي الساعة الرابعة."" لقى رفيجه مستنيه بابتسامة حارة. مع بعض، توجهوا للمغامرة الجاية. ",Saudi
 كان أحمد يسافر من نيويورك إلى لوس أنجلوس، وكان عليه أن يغير رحلته في شيكاغو. عندما وصل إلى مطار شيكاغو، وجد صديقا قديما بالصدفة. قضيا معاً بعض الوقت في تبادل الأخبار والذكريات. وبعد ساعات قليلة، استقل أحمد الطائرة مجدداً متجهاً إلى وجهته النهائية. , كان أحمد مسافر من نيويورك للوس أنجلوس، ولازم يتغير في شيكاغو. يوم وصل لمطار شيكاغو، قابل صديقه القديم بالصدفة. جلسوا مع بعض يتبادلون الأخبار ويسترجعون الذكريات. وبعد ساعات قليلة، ركب أحمد الطائرة مرة ثانية متوجه إلى وجهته الأخيرة. ,Saudi
 كان أحمد يريد إرسال خطاب مهم إلى صديقه في فرنسا. سأل الموظف في البريد عن تكلفة الإرسال المسجل. أخبره الموظف أن التكلفة ستكون عشرين ديناراً. دفع أحمد المبلغ وأرسل الخطاب، متمنياً أن يصل بسلام. , أحمد يبغى يرسل خطاب مهم لصديقه في فرنسا. سأل العامل في البريد عن قيمة الإرسال المسجل. قال له العامل إنها بتكلف عشرين ريال. دفع أحمد المبلغ وأرسل الخطاب، يتمنى يوصل بالسلامة. ,Saudi
 ذهب محمد إلى البنك ليصرف الشيك ذو المائتي دولار. واجه بعض التأخير بسبب الزحام الشديد. عندما جاء دوره، اكتشف أنه نسي بطاقته الشخصية في المنزل. اضطر للعودة دون أن يتمكن من صرف الشيك. , محمد راح للبنك عشان يصرف شيكه اللي فيه ميتين دولار. واجه تأخير بسبب الازدحام. لما جا دوره، اكتشف إنه نسي بطاقته الشخصية في البيت. اضطر يرجع البيت بدون ما يصرف الشيك. ,Saudi
 كان أحمد يقود السيارة في بلد أجنبي لأول مرة، ووجد صعوبة في التأقلم مع القيادة على الجانب الأيمن. شعر بالتوتر كلما اقتربت منه سيارة، خاصة عند المنعطفات. تدريجيًا، بدأ يعتاد على الأمر وأصبح أكثر ثقة. في النهاية، استمتع بتجربة القيادة الجديدة وتعلم الكثير منها. , أحمد كان يسوق السيارة في بلد غريب لأول مرة، وحس بصعوبة يوم حاول يتأقلم مع السواقة على الجهة اليمين. كان متوتر كل ما يمر جنبه سيارة، خصوصاً عند المنعطفات. مع الوقت، تعود على الوضع وصار أكثر ثقة بنفسه. وأخيراً، استمتع بتجربة السواقة الجديدة واستفاد منها كثير. ,Saudi
 كان الممثل رائعا بالفعل. لقد حظي بتصفيق حار من الجمهور بعد انتهاء العرض. وفي الكواليس، انهالت عليه التهاني من زملائه. شعر بالفخر لأنه أتقن دوره بكل احترافية. , الممثل كان رائع بالفعل. الجمهور صفق له بقوة بعد ما انتهى العرض. وفي الكواليس، زملائه كلهم عايدوه بالتهاني. حس بفخر كبير لأنه أدى دوره بإحترافية. ,Saudi
" كان يحيى دائماً يحلم بمغامرات خارقة ويتخيل نفسه بطلاً في عوالم موازية. في يوم من الأيام، سألته أمه بحنان: ""أين الجانب غير الخيالي في شخصيتك؟"". فكر يحيى طويلاً وقرر أن يجرب أنشطة جديدة وواقعية. بدأ بالتطوع في مأوى للحيوانات، وهناك اكتشف شغفه برعاية الآخرين. "," كان يحيى دايم يحلم بمغامرات خيالية ويتخيل نفسه بطل في عوالم ثانية. في يوم، سألته أمه بحنان: ""وين الجانب الغير خيالي في شخصيتك؟"". يحيى فكر طويل وقرر يجرب أنشطة جديدة وواقعية. بدأ يتطوع في مأوى الحيوانات، وهناك اكتشف شغفه بالعناية بالآخرين. ",Saudi
 إذا حدث ذلك، من فضلك أتصل بي. في اليوم التالي، حدث ما كان متوقعًا ورن هاتفي. كان صوتها متوترًا على الخط الآخر. أخبرتني بأن الوقت قد حان لنتحرك ونتخذ القرارات الصعبة. بعد الاتصال، جمعت أغراضي وتوجهت نحو المجهول. , إذا صار كذا، تكفى دق علي. اليوم اللي بعده، اللي كنت متوقع صار وجوالي رن. صوتها كان متوتر على الخط الثاني. قالت لي إن الوقت جا إننا نتحرك ونتخذ القرارات الصعبة. بعد المكالمة، جمعت أغراضي وتوجهت للمجهول. ,Saudi
" في يوم حار جداً، سأل راكب الحافلة السائق: ""هل يمكن أن تغير مقعدي من فضلك؟"" السائق، بلطف شديد، وافق وأوقف الحافلة ليساعده. وجد الراكب مقعداً بجانب النافذة وشعر بنسيم بارد. شكر الراكب السائق واستمتع برحلته الباقية بسلام وهدوء. "," في يوم حر جداً، واحد من الركاب سأل السواق: ""تقدر تغير مكاني، لا هنت؟"" السواق، بكل أدب، وافق ووقف الباص عشان يساعده. الراكب لقى كرسي عند الدريشة وحس بنسيم بارد. شكر الراكب السواق واستمتع بالرحلة الباقية بهدوء وراحة. ",Saudi
" في يوم من الأيام، سأل تاجر شاب العجوز عن جودة السلعة قائلاً ""هل هناك ضمانًا؟"" فابتسم العجوز وأجابه بأن كل شيء في هذه الحياة مؤقت والضمان الوحيد هو التغيير. ولكنه أضاف أنه يثق في جودة بضاعته ويعد بإصلاح أي عيب قد يظهر. راق للشاب الفكرة وقرر أن يثق بكلمات العجوز ويشتري السلعة، فتعلم أن الثقة قد تكون أهم من أي ضمان مكتوب. "," في يوم من الأيام، تاجر شاب سأل الشايب عن جودة البضاعة وقال ""فيه ضمان؟"" الشايب ابتسم وقال إن كل شي في الدنيا هذي زائل والضمان الوحيد هو التغير. لكن قاله بعد إنه واثق من جودة بضاعته وراح يصلح أي عيب يطلع فيها. الشاب اقتنع بالفكرة وقرر يثق في كلام الشايب ويشتري البضاعة، وتعلم إن الثقة أحيانًا تكون أهم من أي ضمان مكتوب. ",Saudi
