MSA,Syrian,lang
 أنا أسف جدا، نحن نجهز لك الغرفة التي طلبتها. لقد وصل الرجل متأخراً إلى الفندق بسبب عطل في سيارته. بعد اعتذار موظف الاستقبال، أخبره أن الغرفة ستكون جاهزة بعد دقائق. شعر الرجل بارتياح لأن الخدمة كانت سريعة وكفؤة. أخيراً، استراح في غرفته متأملاً جمال الإطلالة من النافذة. , أنا آسف كتير، نحنا عم نجهزلك الغرفة يلي طلبتها. الرجال وصل متأخر على الفندق بسبب عطل بالسيارة تبعتو. بعد ما عتذر موظف الاستقبال، قللو إنو الغرفة رح تكون جاهزة بعد شوي. الرجال حس بارتياح لأن الخدمة كانت سريعة وكفو. بالآخر، رتاح بغرفتو وهوي عم يتأمل المنظر الحلو من الشباك. ,Syrian
 وجدت أحمد خريطة قديمة في السوق، وسأل البائع إذا يمكنه الاحتفاظ بها. أظهرت الخريطة محطات مترو الأنفاق ومحطات الحافلات بوضوح. أخبره البائع أن الخريطة تعود لزمن كانت المدينة في أوج عمرانها. شعر أحمد بشغف لاكتشاف تاريخ المدينة من خلال هذه الخريطة. , لقى أحمد خريطة قديمة بالسوق، وسأل البياع إذا فيو ياخدها. الخريطة كانت واضحة فيها محطات المترو ومحطات الباصات. قللو البياع إنو الخريطة من وقت كانت المدينة عم تزدهر. حس أحمد بحماسة ليكتشف تاريخ المدينة من خلال هالخريطة. ,Syrian
 آه لقد فقدت شبزوكي. بدأت البحث عنه في كل مكان، ولكن دون جدوى. شعرت بالحزن الشديد لأنه كان صديقي المفضل. في النهاية، وجدته يختبئ في الحديقة وكانت سعادتي لا توصف. , آه لقديت شبزوكي. صرت دور عليه بكل مكان، بس ما لقيتو. صرت زعلان كتير لأنو كان صاحبي المفضل. آخر شي، لقيتو مخبى بالحديقة وفرحتي ما عم بتوصف. ,Syrian
 كنت أسير على الطريق الرئيسي بجانب خليج موروا عندما شاهدتُ غروب الشمس الساحر. فجأة، لمحتُ قارب صيد قديم يقترب من الشاطئ. اقتربتُ لألقي نظرة أفضل ووجدتُ رجلاً عجوزاً يحكي قصص البحار. قضيتُ الساعات القادمة أستمع إلى حكاياته المثيرة وأتأمل جمال الطبيعة المحيطة. , كنت ماشي عالطريق الأساسي جنب خليج موروا وشفت الغروب شو حلو. فجأة، لمحت مركب صيد قديم عم يتقرب من الشاطئ. قربت لحتى شوف منيح ولقيت شايب عم يحكي حكايات البحر. قعدت ساعات بسمع لقصصو الممتعة وعم طالع على جمال الطبيعة يللي حوالينا. ,Syrian
 نعم، نحن لدينا منهج نصف يوم، ومنهج ليوم كامل. في المدرسة، كان الطلاب يختارون المنهج الذي يناسبهم. طارق اختار المنهج الكامل ليستفيد أكثر. وبعد سنة، استطاع طارق التفوق بفضل جهده والمنهج المتكامل. , ايه، عنا منهاج لنص يوم، ومنهاج ليوم كامل. بالمدرسة، الطلاب بيقدروا يختاروا المنهاج يلي بيناسبهم. طارق اختار المنهاج الكامل حتى يستفيد أكتر. وبعد سنة، طارق قدر يتفوق بفضل جهودو والمنهاج الكامل. ,Syrian
 كان هناك طائر جميل يحلق في السماء الزرقاء، وكان يحبذ أن يطير عالياً ليرى العالم من حوله. في يوم من الأيام، وجد مكانًا مثاليًا لبناء عشه. ومع مرور الوقت، أصبح العش ملاذًا لطيور أخرى تحبذ أيضًا حلق في السماء الواسعة. , كان في عصفور حلو عم يطير بالسما الزرقا، وكان دايمًا بيحب يطير عالي ليشوف العالم من حواليه. بيوم من الأيام، لقى محل منيح ليبني فيه عشو. ومع الوقت، صار العش ملجأ لعصافير تانية بتحب كمان تطير عالي بالسما الواسعة. ,Syrian
 ذهب محمد إلى المتجر لشراء منبه جديد. وجد العديد من الأنواع لكنه اختار واحدًا متطورًا. دفع ثمنه وعاد إلى البيت مسرورًا. في اليوم التالي، استيقظ مبكرًا بفضل المنبه الجديد. , محمد راح عالمحل يشتري منبه جديد. لاقى كتير أنواع بس اختار واحد متطور. دفع تمنو ورجع عالبيت مبسوط. تاني يوم، صحى بكير بفضل المنبه الجديد. ,Syrian
" في أحد الأيام، قرر محمد إلغاء حجزه في فندق الواحة لأنه وجد مكانًا أقرب إلى موقع العمل. اتصل بالفندق وقال، ""أريد إلغاء حجزي، من فضلك."" تفهم موظف الاستقبال الوضع وألغى الحجز دون رسوم إضافية. شعر محمد بالراحة لأنه سيوفر الوقت والمال في التنقلات. "," بيوم من الأيام، محمد قرر يلغي حجزو بفندق الواحة لأنو لقى مكان أقرب لشغلو. اتصل بالفندق وقال، ""بدي إلغي حجزي، لو سمحت."" الموظف بالاستقبال فهم الوضع وألغى الحجز من دون ما يطلب رسوم إضافية. محمد حس بالراحة لأن رح يوفر وقت ومصاري بالمواصلات. ",Syrian
" في يوم من الأيام، كان هناك رجل يتساءل ""ما هو نظام الاسترداد؟""، فقرر البحث عن إجابة. وبعد جهد وبحث طويل، اكتشف أن نظام الاسترداد عبارة عن مجموعة من الإجراءات التي تسمح للمستهلكين بإعادة السلع أو الحصول على تعويض في حالة وجود عيب. شعر بالرضا لأنه أصبح يعرف حقوقه كمستهلك، وقرر أن يشارك معلوماته هذه مع الآخرين ليستفيدوا. "," بيوم من الأيام، في واحد كان عم يفكر ""شو يعني نظام الاسترداد؟""، قرر يدور على الجواب. وبعد تعب وبحث كتير، اكتشف إنو نظام الاسترداد هو مجموعة إجراءات بتسمح للزباين يرجعو السلع أو ياخدو تعويض إذا كان في عيب. حس بالراحة لأنه صار يعرف حقوقه كزبون، وقرر ينشر هالمعلومة للناس ليستفيدوا. ",Syrian
 في إحدى الليالي المظلمة، اكتشف أحمد أن الإضاءة لا تعمل في منزله. حاول إصلاحها بنفسه، لكن دون جدوى. دعا الكهربائي الذي وجد مشكلة في الأسلاك. بعد الإصلاح، عادت الأنوار لتضيء المنزل مجددًا. , بإحدى الليالي المظلمة، اكتشف أحمد إنو الإضاءة ما عم تشتغل ببيتو. حاول يصلحها لحالو، بس ما قدر. استدعى الكهربجي يلي لقى المشكلة بالأسلاك. بعد التصليح، النور رجع ينور البيت من جديد. ,Syrian
 بالمناسبة، اسمي هيروشي إيجيما، وأنا باحث ياباني مقيم في القاهرة. جئت إلى هنا لدراسة اللغة العربية وآثار الفراعنة. في كل يوم، أذهب إلى المكتبة لأقرأ الكتب النادرة. وقد وجدت صديقًا مصريًا يشاركني شغفي بالتاريخ. , بالمناسبة، اسمي هيروشي إيجيما، وأنا باحث ياباني عايش بالقاهرة. جيت على هون لدراسة اللغة العربية وآثار الفراعنة. كل يوم بروح على المكتبة لقراءة الكتب القديمة. وصرت صديق مع واحد من مصر بيحب التاريخ متلي. ,Syrian
 كان أحمد يعمل مع شركة دولية وكان عليه أن يعقد اجتماعاً مع زملائه في طوكيو. فتساءل ما هو فارق التوقيت بين طوكيو وهنا. بعد البحث عرف أن الفارق هو ٩ ساعات. فاضطر أحمد لضبط منبهه ليستيقظ في منتصف الليل لحضور الاجتماع. , أحمد كان عم يشتغل مع شركة دولية وكان لازم يعمل اجتماع مع زملائو بطوكيو. سأل حالو شو فرق الوقت بين طوكيو وهون. لما بحث عرف إنو الفرق تسع ساعات. فصار لازم أحمد يظبط المنبه عشان يصحى بنص الليل ويحضر الاجتماع. ,Syrian
 في يوم مشمس، استقل محمد القطار متوجهاً إلى لاك فورست. وأثناء الرحلة، تعرف على راكب بجانبه يدعى أحمد. بدأ الاثنان بتبادل الحديث عن وجهتهما وما يخططان لفعله هناك. وعندما اقترب القطار من المحطة، تأكد محمد من أن القطار يتوقف في لاك فورست، فأومأ أحمد برأسه مؤكداً. , بيوم مشمس، محمد ركب القطار عم يروح ع لاك فورست. وبالطريق، تعرف على شخص حدو اسمو أحمد. صارو يحكو عن وجهتن وشو ناويين يعملو هنيك. ولما صار القطار قريب عالمحطة، محمد بدو يتأكد إذا القطار رح يوقف بلاك فورست، وأحمد أيد براسو. ,Syrian
" في أحد الأسواق الشعبية، سأل رجل تاجراً عن سعر بعض البضائع، فأجابه التاجر بابتسامة، ""كم السعر الإجمالي؟""، فأخرج الرجل محفظته وأعطى التاجر النقود بعد أن حصل على إجابة. "," بسوق من الأسواق الشعبية، واحد سأل صاحب دكان عن سعر شوية أغراض، البائع ابتسم وقال له ""أديش السعر الكلي؟""، الزبون طلع مصريفو وعطا البائع المصاري بعد ما عرف الحساب. ",Syrian
 شكراً يا سيدي، لقد أنقذت حياتي. عندما سقطت في النهر، جاء الرجل الشجاع وأمسك بيدي. بعد أن أخرجني من الماء، قدم لي بطانية دافئة وشاياً ساخناً. لن أنسى معروفه طوال حياتي. , شكراً كتير يا سيدي، إنت أنقذتني وخلصتلي حياتي. لما طحت بالنهر، إجا واحد شجاع ومسك إيدي. بعد ما طلعني من المي، عطاني بطانية دافية وشاي سخن. ما رح نسى معروفو لئلي العمر كلو. ,Syrian
 تقدم للأمام واتجه يمينًا عند الناصية الثالثة، فوجد بابًا خشبيًا قديمًا. دق الباب بحذر، ففتحت له عجوز تحمل مصباحًا. طلب منها المساعدة فأشارت إلى كتاب على الطاولة. كان الكتاب مفتاحًا لألغاز كثيرة كان يبحث عنها منذ سنوات. , تقدم لقدام واتجه يمين عند الناصية التالتة، لقى باب خشب قديم. خبط الباب على خفيف، فتحتلو وحدة عجوز ماسكة مصباح. طلب منها مساعدة، فأشرتلو على كتاب عالطاولة. الكتاب كان مفتاح لألغاز كتيرة كان عم يدور عليها من سنين. ,Syrian
 في أحد الأيام، استيقظ يوسف وهو يشعر بألم حاد في معدتيه. حاول تجاهل الألم وتناول بعض الأدوية المسكنة، لكن بلا فائدة. اضطر أخيرًا إلى زيارة الطبيب، الذي أخبره بأنه يعاني من التهاب حاد في المعدة ويحتاج إلى الراحة والعلاج. بعد اتباع التعليمات والراحة لعدة أيام، شعر يوسف بتحسن كبير وعاد إلى حياته اليومية بصحة جيدة. , في يوم من الأيام، صحي يوسف وهو عم يحس بألم قوي ببطنو. حاول يتجاهل الوجع وأخد شوية دوا مسكن، بس ما كان في فايدة. اضطر بالآخر يزور الطبيب، اللي قال لو إنو عندو التهاب حاد بالمعدة ولازم يرتاح وياخد علاج. بعد ما عمل بالنصايح ورتاح كم يوم، صار يوسف أحسن بكتير ورجع على حياتو اليومية وهو بصحة جيدة. ,Syrian
 كان هناك شاب ياباني يعشق الأخطبوط والحبار، لذلك قرر أن يتعلم فن طهيهما ببراعة. بعد سنوات من التدريب، أصبح الشاب طاهيًا مشهورًا في طوكيو. كانت مطعمه يجذب السياح من جميع أنحاء العالم لتذوق أطباقه الفريدة. وفي كل مرة يزور فيها الناس مطعمه، كانوا يشيدون بمهارته في تحضير الأخطبوط والحبار. , كان في شاب ياباني بيعشق الأخطبوط والكلمار، فقرر يتعلم كيف يطبخن بشكل ماهر. بعد سنين من التعلم والتمرين، صار الشاب طباخ معروف بطوكيو. مطعمو صار يجذب سياح من كل العالم ليجربو أطباقو الخاصة. وكل مرة الناس بيزورو مطعمو، كانو يمدحوا مهارتو بتحضير الأخطبوط والكلمار. ,Syrian
" في أحد الأيام وأثناء سيري في الحديقة، شاهدت طائراً نادراً يقف على غصن شجرة. استوقفني جماله وألوانه الزاهية فوقفت أتأمله. تساءلت في نفسي ""هل رأيت ذلك من قبل؟"" لأنني لم أرَ مثله في حياتي. بقيت هناك لوقت طويل أراقب الطائر حتى طار بعيداً. "," بيوم من الأيام وأنا عم أمشي بالحديقة، شفت طير نادر واقف على غصن شجرة. جمالو وألوانو الزاهية خلوني واقف مبهور فيه. سألت حالي ""شفت هاد الشي قبل؟"" لأني ما شفت متلو بحياتي. بقيت هنيك فترة طويلة عم طالع على الطير لحتى طار لبعيد. ",Syrian
" أحضر محمد هدية مميزة لعيد ميلاد صديقه العزيز. طلب من البائع أن يقوم بتغليفها بعناية فائقة. قال البائع مبتسمًا: ""أنها هدية. هل يمكنك أن تقوم بلف هذه الهدية لي؟"" فوافق محمد على الفور وشعر بسعادة غامرة لتقديمها. "," جاب محمد هدية حلوة لعيد ميلاد صاحبو المقرب. قللو للبيّاع ياريت تغلفها بأحسن شكل. البيّاع ابتسم وقلو: ""هي هدية. فيك تغلفها إلي؟"" وافق محمد من دون تردد وحس بفرح كبير وهو عم يستعد يقدمها. ",Syrian
 مساء الخير، السيدة كنت. لم نلتقي منذ زمن بعيد. في ذلك اليوم، كان الجو باردا والسماء صافية عندما التقت السيدة كنت بصديقة قديمة في الحديقة. تبادلا الأخبار والذكريات، وضحكا على الأيام الخوالي. قررتا بعد ذلك أن يجددا العهد بلقاءات دورية ليحافظا على الصداقة القوية. ومع غروب الشمس، ودعتا بعضهما بابتسامة دافئة، عازمتين على عدم ترك الزمن يفرق بينهما مجددا. , مساء الخير، السيدة كنت. من زمان ما شفناكِ. بهديك اليوم، كان الجو بارد والسما صافية لما السيدة كنت التقت صاحبتها القديمة بالحديقة. حكوا لبعض الأخبار وتذكروا الذكريات، وضحكوا على أيام زمان. بعدين قرروا يتلاقوا دايماً ليحافظوا على صداقتهم القوية. مع غروب الشمس، ودعوا بعضهم بابتسامة دافية، وحازمين ما يخلوا الزمن يبعدهم عن بعض مرة تانية. ,Syrian
" في يوم حار، ذهب خالد إلى المحطة ليحجز تذكرتين إلى شيكاغو. وقف عند الشباك وسأل بأدب: ""هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغو، من فضلك؟"" ابتسم الموظف وأعطاه التذاكر، متمنياً له رحلة سعيدة. شعر خالد بسعادة غامرة وهو يتطلع إلى الرحلة. "," بيوم حار، راح خالد عالمحطة ليحجز تذكرتين لشيكاغو. وقف عند الشباك وسأل بأدب: ""فيني جيب تذكرتين درجة تانية لشيكاغو، لو سمحت؟"" الموظف ابتسم وأعطاه التذاكر، وقلّو ""تروح وترجع بالسلامة."" خالد فرح كتير وصار يتطلع للرحلة. ",Syrian
" كان هناك رجل يشعر بالتعاسة دائمًا. ذات يوم، قرر أن يغير من نظرته للحياة ويبحث عن السعادة. بدأ بمساعدة الآخرين واكتشف أن ذلك يجعله سعيدًا. في نهاية المطاف، تحولت حياته وأصبح يقول دائمًا ""أنا أسعد"". "," كان في رجال دايماً متضايق. مرة قرر يغير من تفكيرو ويدور على الفرح. صار يساعد الناس واكتشف إن هاد الشي بيخليه مبسوط. بالآخر، تغيرت حياتو وصار دايماً يقول ""أنا أسعد"". ",Syrian
 لقد ذهبت إلى نيويورك. وأثناء تجولي في شوارع المدينة، شعرت بالإثارة لرؤية ناطحات السحاب. التقيت بأشخاص من مختلف الثقافات، وتناولت أشهى الأطعمة. في نهاية الرحلة، وجدت نفسي مغرمًا بعبق التاريخ وحداثة المدينة. , رحت ع نيويورك. ووقت ما كنت عم بمشي بشوارع المدينة، حسيت بإثارة كبيرة لما شفت الأبراج العالية. تعرفت ع ناس من ثقافات متنوعة، وتذوقت أطيب الأكلات. بآخر الرحلة، حسيت حالي عم بنجذب لتاريخ المدينة ومودرنيتها. ,Syrian
 قررت ليلى تغيير حجزها للرحلة الجوية رقم 205 لتفاجأ بأن التذاكر قد نفدت. بحثت بكل جهد عن رحلة بديلة ووجدت واحدة تغادر في اليوم التالي. اتصلت بالشركة فوراً وتمكنت من حجز مقعد في اللحظة الأخيرة. شعرت بالامتنان لأنها ستستطيع اللحاق بموعد مهم في الثاني من أكتوبر. , قررت ليلى تغير حجزها للطيارة رقم 205 وتفاجأت لما لقت كل التذاكر انباعت. دورت بكل جهدها على رحلة تانية ولقت وحدة عم تطلع بكرا. اتصلت بالشركة على طول وقدرت تحجز مقعد بآخر لحظة. حست بالامتنان كتير لأنها رح تلحق موعد مهم بالثاني من أكتوبر. ,Syrian
" في أحد أيام الصيف الحارة، توجه محمد إلى المطار حاملاً حقائبه متجهًا نحو مكتب الاستعلامات وسأل الموظف: ""ما هو رقم الرحلة الجوية؟"". ابتسم الموظف وأخبره بأن رحلته ستقلع بعد ساعتين. شعر محمد بالارتياح وقرر قضاء بعض الوقت في متجر الكتب بالمطار. عندما حان وقت الصعود إلى الطائرة، كان محمد متحمسًا لبدء مغامرته الجديدة. "," بواحد من أيام الصيف الحارة، محمد توجه عالمطار شايل شناتو وراح عالاستعلامات وسأل الشب: ""شو رقم الرحلة الجوية؟"". الشب ابتسم وقلو إنو رحلتو رح تطلع بعد ساعتين. محمد حس بالراحة وقرر يقعد شوي بمحل الكتب بالمطار. لما أجا وقت الطلوع عالطيارة، محمد كان متحمس ليبلش مغامرتو الجديدة. ",Syrian
" وجد أحمد نفسه في مطار مزدحم يبحث عن طاولة التسجيل الخاصة بشركة دلتا. بعد جولة من التخبط, استطاع أخيرا أن يجدها في زاوية بعيدة. سجل حقيبته بسرعة وتنفس الصعداء. انطلق بعدها صوب بوابة الصعود للطائرة، متحمسًا لرحلته القادمة. ", أحمد لقى حالو بمطار مليان ناس، عم يدور ع تسجيل دلتا. بعد شوي من الحوتة، لقاها بزاوية بعيدة. سجل شناتو بسرعة وارتاح. راح على بوابة الطيارة، متشوق لسفرتو الجاية. ,Syrian
" كان يعقوب يتبع حمية غذائية خاصة بسبب مشاكل في ضغط الدم. فسأل الطباخ في المطعم: ""هل هذه وجبة منخفضة الصوديوم؟"" اطمأن عندما أكد له الطباخ ذلك. ومنذ ذلك اليوم، أصبح يعقوب يزور هذا المطعم بانتظام. "," يعقوب كان عم يتبع حمية غذائية معينة لأنو عندو مشاكل بالضغط. سأل الطباخ: ""هي الوجبة قليلة الصوديوم؟"" لما الطباخ طمّنو، صار يعقوب يروح على هالمطعم دايماً. ",Syrian
 هذا البند غير مسموح به في السوق، فقد حظرته الحكومة بسبب مخاطره. كان علي الحاج أن يبحث عن بديل يمكنه تداوله. بعد جهد وتفكير، وجد سلعة أخرى مربحة وقانونية. أصبح بعد ذلك من أشهر التجار في البلدة. , هالشي مو مسموح فيه بالسوق، الحكومة منعتو لأنو خطر. لازم علي الحاج يلاقي شي تاني يشتغل فيه. بعد تفكير وتعب، لقى سلعة تانية منيحة وما فيها مشكلة قانونية. صار بعدين من أنجح التجار بالحارة. ,Syrian
 أعتقد أننا نستطيع. ها هي ورقتك. في تلك اللحظة، شعر أحمد بأن كل جهوده قد تكللت بالنجاح. أخذ الورقة بيد مرتعشة، وعيناه تلمعان بالدموع. قرأ النتيجة بصوت عالٍ أمام أصدقائه المتجمعين، والجميع يهتفون فرحين بنجاحه. وفي الخارج، كانت أمه تنتظر بفارغ الصبر لتحتفل مع ابنها النابغة. , بفكر إنا قادرين. هي ورقتك. بهديك اللحظة، حس أحمد إنو كل تعبو ما ضاعش. أخد الورقة وإيدو كانت عم تترجف، وعيونو كانت عم تلمع بالدموع. قرأ النتيجة بصوت عالي قدام رفقاتو اللي كانوا مجتمعين، والكل عم يصفقوا ويهتفوا مبسوطين بنجاحو. وبرا، أمو كانت عم تستنى بكل شوق لتحتفل مع ابنها الموهوب. ,Syrian
 في ليلة باردة، خلع يوسف قميصه الثقيل قبل أن يذهب للنوم. وضعه بعناية فوق الكرسي الخشبي المتهالك. تسلل البرد إلى جسده، لكنه شعر براحة بالغة تحت الأغطية الدافئة. أغمض عينيه واستسلم للنوم العميق بعد يوم طويل وشاق. , بليلة باردة، يوسف طلع قميصو الثقيل قبل ما يروح ينام. حطو على الكرسي الخشبي القديم. البرد دخل عليه، بس تحت البطانيات الدافية حس براحة كتير. عم يغمض عيونو ونام نوم عميق بعد يوم طويل وتعبان. ,Syrian
" وصل عمر إلى الفندق متأخرًا وكان متعبًا، فطلب من الاستقبال إيقاظه مبكرًا. قال للموظف: ""لا، سوف أخذها خلال فترة إقامتي""، مشيرًا إلى الصحيفة المجانية. استيقظ عمر باكرًا وتناول القهوة بينما يقرأ الأخبار. عند تسجيل الخروج، شكر الموظفين ووعدهم بالعودة في المرة القادمة. "," عمر وصل عالفندق متأخر وكان تعبان، وطلب من الاستقبال يصحوه بكير. قللن: ""لا، رح خدا هي خلال الوقت يلي عم قضيه هون""، يعني الجريدة المجانية يلي بيوزعوها. عمر صحي بكير وشرب قهوتو وهو عم يقرا الأخبار. لما جا يطلع من الفندق، شكر الموظفين ووعدهن يرجع عندهن المرة الجاية. ",Syrian
" كانت قطعة القماش تتغير ألوانها حسب الضوء، فأحياناً تبدو زرقاء وأحياناً خضراء. لاحظ الخياط هذه الظاهرة فسأل نفسه ""هل هو ثابت اللون؟"" قرر أن يختبر القماش تحت أنواع مختلفة من الإضاءة. وجد أن القماش يحتفظ بخاصية التغير مهما تعددت مصادر الضوء. "," القماشة كانت عم تغير لونا مع الضو، مرة تكون زرقا ومرة خضرا. الخياط لاحظ هالشي وسأل حالو ""هل هو ثابت اللون؟"" قرر يجرب القماشة تحت أنواع مختلفة من الضو. لقى إنو القماشة عم تحافظ على صفة تغيير اللون مهما كانت مصادر الضو. ",Syrian
 في أحد أحياء المدينة العتيقة، كانت توجد بوابة زمنية تنقل من يعبرها إلى الماضي. السكان المحليون اعتبروها خاصية خاصة بهذا الحي. يوماً ما، قرر شاب مغامر العبور من خلالها، فاكتشف عوالم لم يكن يعلم بوجودها. عاد محملاً بالحكايات والأسرار التي جعلت الحي مشهوراً ومحط أنظار العالم. , بواحد من أحياء المدينة القديمة، كان في بوابة زمنية بتنقل اللي بيعبرها للماضي. السكان المحليين كانو يعتبروها شي خاص بهالحي. في يوم، شاب مغامر قرر يعبر منها، فاكتشف عوالم ما كان بيعرف بوجودن. رجع معو حكايات وأسرار خلّت الحي معروف ومحط أنظار العالم. ,Syrian
 كان هناك طفل يدعى عمر يحب البسكويت كثيرًا. في كل مرة يزور فيها جدته، كانت تعد له أطيب أنواع البسكويت. ذات يوم، قرر عمر أن يتعلم كيفية صنع البسكويت بنفسه. بعد عدة محاولات، أصبح عمر يصنع البسكويت بمهارة وأصبحت وصفاته مشهورة بين أصدقائه. , كان في شب اسمو عمر بحب البسكويت كتير. كل مرة بيزور تيتا، كانت تعمللو أطيب بسكويت. بيوم من الأيام، قرر عمر يتعلم يعمل البسكويت لحالو. بعد عدة محاولات، صار عمر يعمل البسكويت بمهارة وصارت وصفاتو مشهورة بين رفقاتو. ,Syrian
" في يوم مشمس، قرر أحمد أن يسافر إلى نيويورك ليحقق حلمه بزيارة تمثال الحرية. بعد التخطيط لأسابيع، وجد نفسه واقفًا أمام مكتب حجز التذاكر يقول ""واحد لنيويورك، من فضلك"". خلال الرحلة، التقى بمسافرين من مختلف الثقافات وتبادل معهم القصص والخبرات. وعند وصوله، شعر أحمد بالإثارة والنشوة وهو ينظر إلى المدينة التي لطالما حلم بزيارتها. "," بيوم مشمس، أحمد قرر يسافر على نيويورك ليشوف تمثال الحرية يلي دايمًا كان عم يحلم فيه. بعد ما خطط لأسابيع، وقف قدام مكتب التذاكر وقال ""واحد لنيويورك، من فضلك"". بالطيارة، تعرف على ناس من ثقافات مختلفة وتبادل معهن القصص والتجارب. ولما وصل، حس بالفرح والحماسة وهوي بيتطلع على المدينة يلي دائمًا بيحلم يزورها. ",Syrian
 لعدة أيام قليلة، بقي الطائر صغيراً في عشه ينتظر عودة أمه. في اليوم الخامس، لاحظ أن الغابة أصبحت هادئة بشكل غريب. شعر بالجوع الشديد، فقرر أن يخرج بحثاً عن الطعام. وخلال رحلته، وجد صديقاً جديداً يعلمه كيف يطير. , لأيام قليلة، العصفور الصغير ضل بعشو بيستنى رجعة إمو. باليوم الخامس، انتبه إنو الغابة صارت هادية بطريقة غريبة. حس بجوع كتير، قرر يطلع يدوّر على أكل. وبسفرتو، لاقى صديق جديد علّمو يطير. ,Syrian
 في يوم حافل بالأحداث، وجد خالد نفسه في طابور طويل أمام مكتب البريد. وبعد انتظار طويل، حان دوره ليقترب من الشباك. ذكره الموظف بأن يتبع التعليمات المعلقة على الجدار. فنظر خالد إلى الإرشادات وتقدم الثاني من على اليسار. , بيوم كتير مليان أحداث، خالد لاقى حالو واقف بطابور طويل قدام مكتب البريد. وبعد ما انطر كتير، أجا دورو ليقرب عالشباك. الموظف قللو يتبع الإرشادات يلي معلقة عالحيط. خالد التفت على الإرشادات وتقدم التاني من على الشمال. ,Syrian
 في يوم من الأيام، وجدت قطة صغيرة تائهة في الشارع، يبدون في حجم صغير جداً. اقترب منها صبي صغير وقرر أن يأخذها إلى بيته. عندما وصلوا، أطعمها واعتنى بها. ومع مرور الوقت، أصبحت القطة الصغيرة جزءًا لا يتجزأ من عائلته. , في يوم من الأيام، لاقى قطة صغيرة ضايعة بالشارع، شكلها صغير كتير. ولد صغير اقترب منها وقرر ياخدها على بيتهم. لما وصلو، أطعمها واعتنى فيها. ومع مرور الوقت، القطة الصغيرة صارت جزء مهم من عيلته. ,Syrian
 في إحدى البطولات القوية، وجد اللاعب نفسه أمام تحديات كبيرة. كانت الجولات معقدة وكل خصم أقوى من الآخر. تمكن بعزيمة وتصميم من تخطي الصعوبات. وفي النهاية، ارتفعت يداه معلنًا فوزه المستحق. , بواحدة من البطولات القوية، لاقى اللاعب حالو قدام تحديات كتير كبيرة. الجولات كانت معقدة وكل خصم أقوى من اللي قبلو. بعزيمة وإصرار تمكن يتخطى كل الصعوبات. وبالنهاية، ارتفعت إيديه فوق معلن فوزه يلي يستحقه. ,Syrian
